pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
Absolutely get this!,"The two pup's I rescued were about 4 weeks old when I found them. I got lucky because a friend suggested the Nutro line. I then did some research, and read TONS of reviews, then promptly placed my order. My fur babies love it! I would not hesitate for a second, to recommend Nutro to my friends and family",60630,"They like the food only it messes their tummy up and stool is loose, with 9 dogs its not fun to clean up",By Nutro Max,Unsatisfactory
My dog raised on Real Chicken!,Switched to these dog food rolls recently as I finally got tired of cooking chicken on a weekly basis for the last 11 years. She likes the texture and I like less mess and work. Also know she is getting more nutrients. Also eats moe kibble with this food.,76572,My dog likes it well enough but it's so hard and compact coming out of the fridge it's difficult and messy.  I prefer feeding time to be much easier.  It's also too expensive for my budget.,By Natural Balance,Difficult to use
It's a winner!,My very picky pooch loves this stuff. She used to pick her food from her bowl and eat it on the rug. Now she eats it all up on her plate. We add the dry duck kibble with the duck stew and so far so good.,75786,"I know my Irish Wolfhounds enjoyed this food, and I am a fan of giving them a lot of variety in their diet, but I won't be buying it again. It seemed like the percentage of actual duck chunks to gravy was insufficient, and I can't see paying this much per can for gravy.",By Blue Buffalo,Duck in gravy
Best single protein venison and potato dog food,"I tried this brand dog food when my regular dog food  I  purchase with potato and venison  has been out of stock now for months 
 My three dogs love it  they can't get enough of it even looks better and smells better than the previous brand dog food I was purchasing 
 I highly recommend this food",49225,"My daughter has been feeding her dog this food with no problem. I ordered 2 cases and my cases have a white and black substance throughout the cans.
It made all 3 of my dogs have diarrhea, so I have discontinued feeding them this food. I do not know if it was a bad batch, as I said, my daughter has ",By Wellness,WHITE & BLACK MOLD SUBSTANCE IN CANS
Good for sick dogs,"We had a very sick 10 year old dog.  She vomited every day for over a month.  The vet gave us some canned food for dietary upset, but she hated it.  So after doing some research we decided to feed her Blue Buffalo Fish & Sweet Potato and she is now back to her old self.  If your dog has digestive issues",46808,"My dog does not like this can of food and now I am stuck with a whole case of it.
Next time I try something different for him, I will sample several cans first.",By Blue Buffalo,Too much of this Dog Food.
Lily loves this food.,"Lily loves this food.  I'm not sure she taste it because she cleans the plate so fast. 
l give it to her in the morning and call it  'breakfast'.  If she ever turns it down I will know she is sick and take her to the vet.",71901,If my dogs could talk they would say this food is GROSS. They didn't like nor ate it now I'm stuck with 23 cans . I guess I could donate !!!!,By Merrick,Grammy's Pot Pie
It looked delicious,Honestly it looked like a homemade stew but my puppy would not eat it? He didn't like it alone or mixed with his puppy food.,48404,"I'm confident in the nutritional content of Nutro, and only buy Nutro, but can't give this a 5 for 2 reasons. 1- my Amstaff doesn't like it. Have a hard time getting her to finish her meal when I've incorporated this. 2- It has wheat gluten.",By Nutro Ultra,It's not a winner
Great product,My dog loves this food and prefers it to another organic brand. I feed him Newmans Organic wet food in addition to a homemade dog food. It's on auto ship so I always have some on hand.,59978,Was excited for a reasonably priced 'organic' dog food.  We have a picky eater so we usually try out any new food before buying in bulk.  However your brand is not sold in any of the retail stores in our area.  So the risk we took on purchasing this case was HUGE. Not only would she refuse to eat it ,By Newman's Own Organics,Smells Like POOP!!
Shipped dented,I ordered a case and 8 of the cans were dented. I dont think it happened in shipping because a few of the cans were in the center of the packaging and even the cans on the side were protected during shipping with brown paper packed in the box.Is it possible to get credit for those shipped damaged as ,50775,"For the last couple months I have used Evanger's Organics Cooked Chicken (can, grain-free, gluten-free). I was REALLY impressed and pleased with the product! It REALLY looked like ""real cooked chicken""; it was almost white, and you could see the bits of bone/grizzel that had been ground up. Smelled like",By Evanger's,What happened to quality?
Yoda: Food for Joint Mobility,Yoda likes the Hill's Prescription diet canned food.  For some reason she didn't take to the Hill's Prescription kibble; think it was the size which was about double the Buffalo Blue she was so used to having.  Two other dogs on the kibble also like the canned.  Read the ingredients on the can and noticed,69768,"Dog will be 17 this August and he's showing severe signs of joint disease now... Got this to see if he would eat it (historically, my pets have all shunned Hill's, and I personally have always felt there were better products out there). HE ATE IT!

So, a quickie review:
1 - this is a COMPLETE and ",By Hill's Prescription Diet,my old man likes it!
Picky puppy now eats!,I had been having difficulties finding a soft or hard food that my puppy would eat. She definitely loves her soft Royal Canin puppy food. She is a small breed dog and can almost eat the whole can!,63382,My Bella is very picky she seems to like this one more than the rest I tried lol but my cat Gretta really likes it lil,By Royal Canin,Good deal but!
My dogs love this food!,My Vet suggested I use the prescription version of this canned food. I can't afford it so I decided to try this food. Both of my dogs love it. They devour it like it's a steak dinner :-) It looks just like the chunky sirloin steak soup from Campbell's. It smells like it too. I highly recommend it.,94008,We have used Science Diet for our dogs for over thirty years. When we saw Healthy Cuisine we thought an upgrade had been made to the Savory Stew products (we use both Chicken and Beef). It appears more of a 'slush' type product and doesn't compare to the stews.,By Hill's Science Diet,No Thanks Healthy Cuisine
